Event Name,Runner,Tournament,Winner,Year,Rank
Wimbledon,Milos Raonic,2016 Wimbledon,Andy Murray,2016,55
Australian Open,Rafael Nadal,2017 Australian Open,Roger Federer,2017,57
Roland Garros,Stan Wawrinka,2017 Roland Garros,Rafael Nadal,2017,58
US Open,Kevin Anderson,2017 US Open,Rafael Nadal,2017,60
Wimbledon,Marin Čilić,2017 Wimbledon,Roger Federer,2017,59
Australian Open, Marin Čilić,2018 Australian Open,Roger Federer,2018,61
Roland Garros,Dominic Thiem,2018 Roland Garros,Rafael Nadal,2018,62
US Open,Juan Martín del Potro,2018 US Open,Novak Djokovic,2018,64
Wimbledon,Kevin Anderson,2018 Wimbledon,Novak Djokovic,2018,63
Australian Open,Rafael Nadal,2019 Australian Open,Novak Djokovic,2019,65
Roland Garros,Dominic Thiem,2019 Roland Garros,Rafael Nadal,2019,66
US Open,Daniil Medvedev,2019 US Open,Rafael Nadal,2019,68
Wimbledon,Roger Federer,2019 Wimbledon,Novak Djokovic,2019,67
Australian Open,Dominic Thiem,2020 Australian Open,Novak Djokovic,2020,69
Roland Garros,Novak Djokovic,2020 Roland Garros,Rafael Nadal,2020,70
US Open,Alexander Zverev,2020 US Open,Dominic Thiem,2020,71
Australian Open,Daniil Medvedev,2021 Australian Open,Novak Djokovic,2021,72
Roland Garros,Stefanos Tsitsipas,2021 Roland Garros,Novak Djokovic,2021,73
US Open,Novak Djokovic,2021 US Open,Daniil Medvedev,2021,75
Wimbledon,Matteo Berrettini,2021 Wimbledon,Novak Djokovic,2021,74
